SGR,Mass,RNA,DNA,Protein
0.074826287842218,0.18557120198607,0.074475456788163,0.043965333240677,0.623145268769436
0.230759257982208,0.191749534514861,0.089837238969329,0.043789616848919,0.63055491091853
0.383026825736156,0.238395696848493,0.103769464065005,0.04134050759204,0.589247896457296
0.531117026411972,0.283118681470243,0.135781118926244,0.032670839517326,0.58755511646565
0.636127163643887,0.303888007723605,0.140553754821032,0.033478936369819,
0.676356113371492,0.329698641473002,0.145734906507959,0.030769230769231,
0.709894214192125,0.339433694227984,0.158252465737786,0.033666565737289,0.576009998872806
0.759188469760706,0.402064409351079,0.159789735978676,0.028707789596994,
0.831430659954486,0.443247224329357,0.163359657700498,0.029174381145731,
0.850708778704917,0.529143093579753,0.169618437315411,,0.560576062380236
0.868446589890352,0.554741879870354,0.181801440477313,0.030112031609096,
0.890277911868147,0.652906696089925,0.173673316423526,,0.559810233594356
